PassengerId,Survived_pred,Probability_Survival
892,0,0.12926671682285706
893,1,0.537775595953333
894,0,0.11393244324776784
895,0,0.10772853004911542
896,0,0.4414603884390063
897,0,0.10772853004911542
898,1,0.694504075922339
899,0,0.15532110002123545
900,1,0.7354575837160253
901,0,0.09984584882241447
902,0,0.10772853004911542
903,0,0.24702911021558435
904,1,0.9088089298449663
905,0,0.13636210218561706
906,1,0.9079126575102436
907,1,0.9168305277654037
908,0,0.14116256994815757
909,0,0.19365883763246444
910,0,0.4349655421961154
911,1,0.6442091141155623
912,0,0.3251361754891242
913,0,0.3370501708634289
914,1,0.90151512156267
915,1,0.5027494022208998
916,1,0.9317270071477697
917,0,0.062280540833534445
918,1,0.960185509706013
919,0,0.19365883763246444
920,0,0.39673564657058225
921,0,0.12966415978189233
922,0,0.13636210218561706
923,0,0.17475554759140632
924,1,0.5121121698329308
925,0,0.4817525262539584
926,0,0.3996206210062879
927,0,0.19365883763246444
928,0,0.4411943991555875
929,0,0.4411943991555875
930,0,0.10772853004911542
931,0,0.4806431545949604
932,0,0.13837684533286593
933,0,0.31557268664337657
934,0,0.10669791484001204
935,1,0.8394649563167893
936,1,0.9577391899056507
937,0,0.10772853004911542
938,0,0.4312743431965229
939,0,0.11619790442055232
940,1,0.9199472860514317
941,1,0.5603415996018147
942,0,0.3601342496557395
943,0,0.13875297750692714
944,1,0.8239130718396942
945,1,0.7729471515880152
946,0,0.19597223064463232
947,0,0.08049693019423394
948,0,0.11997409630678318
949,0,0.10772853004911542
950,0,0.14404701512916504
951,1,0.9355124977884846
952,0,0.10772853004911542
953,0,0.14633836843027984
954,0,0.10772853004911542
955,1,0.694504075922339
956,0,0.4682561717903773
957,1,0.8601417019879014
958,1,0.6795766968288053
959,0,0.26444050089391136
960,0,0.3000710654906743
961,1,0.5106928615905169
962,1,0.6795766968288053
963,0,0.10772853004911542
964,0,0.4411943991555875
965,0,0.28769592303387626
966,1,0.9355124977884846
967,0,0.32381518854901087
968,0,0.10772853004911542
969,1,0.9462972320751648
970,0,0.13180487801970028
971,1,0.6795766968288053
972,1,0.8616218304133004
973,0,0.09748523595179817
974,0,0.29703034496621095
975,0,0.10772853004911542
976,0,0.12416889371759524
977,0,0.08955033506768156
978,1,0.6795766968288053
979,0,0.4411943991555875
980,1,0.6795766968288053
981,1,0.7674410140161326
982,0,0.3818869459111789
983,0,0.10772853004911542
984,1,0.8625232892179432
985,0,0.10772853004911542
986,0,0.3674254170904061
987,0,0.10772853004911542
988,1,0.9704818243627065
989,0,0.10772853004911542
990,0,0.491843546211579
991,0,0.11997409630678318
992,1,0.9730483479920362
993,0,0.1482765496187538
994,0,0.11619790442055232
995,0,0.10772853004911542
996,1,0.6790412963472656
997,0,0.12724301400965882
998,0,0.11619790442055232
999,0,0.11619790442055232
1000,0,0.10772853004911542
1001,0,0.13180487801970028
1002,0,0.09496225153683735
1003,1,0.6795766968288053
1004,1,0.9413663875333226
1005,1,0.694504075922339
1006,1,0.8649418686646005
1007,0,0.12998471422632296
1008,0,0.09122105411457995
1009,1,0.8448101646925567
1010,0,0.4290898218526247
1011,1,0.857069871677578
1012,1,0.9250623316475916
1013,0,0.11619790442055232
1014,1,0.9471666403972265
1015,0,0.10772853004911542
1016,0,0.11619790442055232
1017,1,0.5302300966152713
1018,0,0.10772853004911542
1019,1,0.6197909667692824
1020,0,0.13057763730287017
1021,0,0.10772853004911542
1022,0,0.11997409630678318
1023,0,0.22621266475141077
1024,0,0.14949555526678762
1025,0,0.09122105411457995
1026,0,0.10669791484001204
1027,0,0.10772853004911542
1028,0,0.19365883763246444
1029,0,0.13180487801970028
1030,0,0.4411943991555875
1031,0,0.060349374037389394
1032,0,0.13771368323824318
1033,1,0.9032835531893115
1034,0,0.1820054990265456
1035,0,0.15150071052849182
1036,0,0.31325174383959725
1037,0,0.17270363794189167
1038,0,0.26654015580030765
1039,0,0.10772853004911542
1040,0,0.31557268664337657
1041,0,0.1482765496187538
1042,1,0.960185509706013
1043,0,0.13652552860600944
1044,0,0.06377479837520234
1045,0,0.47790117743296207
1046,0,0.049507572002480585
1047,0,0.10772853004911542
1048,1,0.8921384201149807
1049,0,0.491843546211579
1050,0,0.31325174383959725
1051,0,0.4477085580248404
1052,1,0.694504075922339
1053,1,0.6917144925243884
1054,1,0.8394649563167893
1055,0,0.1589484689106161
1056,0,0.13057763730287017
1057,0,0.4817525262539584
1058,0,0.34806794744322755
1059,0,0.14742130775401782
1060,1,0.9121898407553407
1061,0,0.4411943991555875
1062,0,0.10772853004911542
1063,0,0.19365883763246444
1064,0,0.08632255539978725
1065,0,0.13652552860600944
1066,0,0.08371607792082875
1067,1,0.8786370286852728
1068,1,0.8647717296170966
1069,1,0.5254873404389875
1070,1,0.824812199087856
1071,1,0.8341913772342048
1072,0,0.13180487801970028
1073,0,0.3119158140617559
1074,1,0.9581728496845018
1075,0,0.11619790442055232
1076,1,0.9512553183561218
1077,0,0.17295042898530283
1078,1,0.8601417019879014
1079,0,0.08412808083164303
1080,0,0.30493781911316403
1081,0,0.13057763730287017
1082,0,0.16428261515474704
1083,0,0.24903732469589884
1084,0,0.1958694077017116
1085,0,0.116623070307863
1086,1,0.6731232132485646
1087,0,0.11997409630678318
1088,1,0.7794336533235497
1089,0,0.491843546211579
1090,0,0.12881506492293607
1091,0,0.4411943991555875
1092,1,0.712083344661015
1093,1,0.781785841174931
1094,0,0.2955579422274819
1095,1,0.9523229697867702
1096,0,0.12881506492293607
1097,0,0.24383572759386193
1098,1,0.705433482810567
1099,0,0.12881506492293607
1100,1,0.921445530984839
1101,0,0.10772853004911542
1102,0,0.14135538807456033
1103,0,0.08793713015162209
1104,0,0.23710751313618997
1105,1,0.8446847563981539
1106,1,0.5583345316530531
1107,0,0.26444050089391136
1108,1,0.6795766968288053
1109,0,0.20607806206514356
1110,1,0.9029045080098101
1111,0,0.10772853004911542
1112,1,0.8903794134894665
1113,0,0.10772853004911542
1114,1,0.8358776159230149
1115,0,0.10772853004911542
1116,1,0.8826170963862193
1117,1,0.6240604850744885
1118,0,0.10772853004911542
1119,1,0.6795766968288053
1120,0,0.06916363886233182
1121,0,0.14633836843027984
1122,0,0.2602790475162757
1123,1,0.897994742474075
1124,0,0.0826681655426652
1125,0,0.11619790442055232
1126,0,0.397040121557884
1127,0,0.10772853004911542
1128,0,0.16700264179634908
1129,0,0.19365883763246444
1130,1,0.8360255604898814
1131,1,0.9528949971679633
1132,1,0.8826170963862193
1133,1,0.8905334485231013
1134,0,0.3625073988420493
1135,0,0.10772853004911542
1136,0,0.12445937005167
1137,0,0.2595480294651582
1138,1,0.8601417019879014
1139,0,0.21165429664201965
1140,1,0.857069871677578
1141,0,0.4642214115416626
1142,1,0.9753077659863392
1143,0,0.10772853004911542
1144,0,0.4115813157451419
1145,0,0.10772853004911542
1146,0,0.11997409630678318
1147,0,0.10772853004911542
1148,0,0.11619790442055232
1149,0,0.10772853004911542
1150,1,0.8394649563167893
1151,0,0.10772853004911542
1152,0,0.11716832173865281
1153,0,0.10772853004911542
1154,1,0.8601417019879014
1155,1,0.7963216872917739
1156,0,0.14897508997275355
1157,0,0.10772853004911542
1158,0,0.1316170369448885
1159,0,0.10772853004911542
1160,0,0.4411943991555875
1161,0,0.10772853004911542
1162,0,0.397040121557884
1163,0,0.11619790442055232
1164,1,0.9549327203458232
1165,1,0.712083344661015
1166,0,0.13652552860600944
1167,1,0.857069871677578
1168,0,0.12881506492293607
1169,0,0.1469218945299531
1170,0,0.1482765496187538
1171,0,0.12881506492293607
1172,0,0.4411943991555875
1173,1,0.8521882219624654
1174,1,0.6795766968288053
1175,1,0.8989815928851809
1176,1,0.719779715127863
1177,0,0.11997409630678318
1178,0,0.10772853004911542
1179,0,0.32707024644156335
1180,0,0.13652552860600944
1181,0,0.10772853004911542
1182,0,0.26654015580030765
1183,1,0.7255015899359197
1184,0,0.13652552860600944
1185,0,0.26024670360843366
1186,0,0.11997409630678318
1187,0,0.10772853004911542
1188,1,0.9802052543772738
1189,0,0.12966415978189233
1190,0,0.26654015580030765
1191,0,0.10772853004911542
1192,0,0.11997409630678318
1193,0,0.09589167809458204
1194,0,0.15012179129583864
1195,0,0.10772853004911542
1196,1,0.6795766968288053
1197,1,0.7653976564793263
1198,0,0.2639556315188353
1199,1,0.8054305374953618
1200,0,0.26024670360843366
1201,0,0.37934860461867276
1202,0,0.10772853004911542
1203,0,0.19365883763246444
1204,0,0.10772853004911542
1205,1,0.6258326524878423
1206,1,0.9098840384727176
1207,1,0.694504075922339
1208,0,0.24998417573154985
1209,0,0.12881506492293607
1210,0,0.10772853004911542
1211,0,0.17475554759140632
1212,0,0.10772853004911542
1213,0,0.19365883763246444
1214,0,0.13180487801970028
1215,0,0.34237844686036173
1216,1,0.8910979351172396
1217,0,0.10134958238820745
1218,1,0.8918782480903765
1219,0,0.3625073988420493
1220,0,0.1482765496187538
1221,0,0.13180487801970028
1222,1,0.8906867401777527
1223,0,0.4312743431965229
1224,0,0.13652552860600944
1225,1,0.7515233842906854
1226,0,0.10772853004911542
1227,0,0.24903732469589884
1228,0,0.14633836843027984
1229,0,0.11536127017224147
1230,0,0.21773558855371006
1231,0,0.13652552860600944
1232,0,0.12881506492293607
1233,0,0.11997409630678318
1234,0,0.14060091691831375
1235,1,0.9535097103410737
1236,0,0.06823361136937449
1237,1,0.5092003936678573
1238,0,0.13180487801970028
1239,1,0.5907339088051028
1240,0,0.13180487801970028
1241,1,0.8671635253065872
1242,1,0.9401436152958956
1243,0,0.12881506492293607
1244,0,0.23710751313618997
1245,0,0.2785564244104906
1246,1,0.8768391831597957
1247,0,0.19357062426377264
1248,1,0.9385496412274753
1249,0,0.10772853004911542
1250,0,0.11619790442055232
1251,1,0.523922771492838
1252,0,0.09138835340188663
1253,1,0.9378427702426699
1254,1,0.8671635253065872
1255,0,0.10772853004911542
1256,1,0.9822803091522367
1257,0,0.23439865111681435
1258,0,0.08955033506768156
1259,0,0.41068196939094764
1260,1,0.9401436152958956
1261,0,0.14897508997275355
1262,0,0.1289361796075791
1263,1,0.9439851222583361
1264,0,0.16185874983538204
1265,0,0.13057763730287017
1266,1,0.8782495336451914
1267,1,0.9270596118502644
1268,0,0.37526474507182106
1269,0,0.13180487801970028
1270,0,0.20825622199035299
1271,0,0.25532184838100513
1272,0,0.11619790442055232
1273,0,0.11619790442055232
1274,0,0.3293776738613082
1275,1,0.523922771492838
1276,0,0.13180487801970028
1277,1,0.8744076599527454
1278,0,0.10772853004911542
1279,0,0.12102590708924038
1280,0,0.11619790442055232
1281,0,0.17077035923118886
1282,0,0.33266368089875475
1283,1,0.8232452160292119
1284,0,0.17921241039015773
1285,0,0.12761157067464957
1286,0,0.03233229648615117
1287,1,0.9088089298449663
1288,0,0.11619790442055232
1289,1,0.9528949971679633
1290,0,0.10772853004911542
1291,0,0.12246441224135363
1292,1,0.8921384201149807
1293,0,0.12071994697215727
1294,1,0.960185509706013
1295,0,0.26654015580030765
1296,0,0.2854944835108628
1297,0,0.21005092746978266
1298,0,0.12600199497070247
1299,0,0.23487339457554018
1300,1,0.694504075922339
1301,1,0.7904417526433394
1302,1,0.6795766968288053
1303,1,0.9395860070396942
1304,0,0.491843546211579
1305,0,0.10772853004911542
1306,1,0.9401436152958956
1307,0,0.08693842019622121
1308,0,0.10772853004911542
1309,0,0.16031918048313468
